"STATE","ST_CASE","DAY_WEEK","HOUR","BODY_TYP","FATAL_COUNT"
"1","10233","5","17","31","1"
"1","10234","2","16","30","1"
"1","10235","6","19","66","1"
"1","10236","7","13","14","1"
"1","10237","1","2","4","1"
"1","10238","1","16","15","1"
"1","10239","7","18","31","1"
"1","10240","2","8","30","1"
"1","10241","2","12","4","1"
"1","10242","1","0","4","1"
"1","10243","7","15","80","1"
"1","10244","5","6","31","1"
"1","10245","5","14","30","1"
"1","10246","5","21","31","1"
"1","10247","6","21","99","1"
"1","10248","6","9","6","1"
"1","10249","2","1","14","1"
"1","10250","2","6","30","1"
"1","10251","2","15","15","1"
"1","10252","4","5","80","1"
"1","10253","4","6","3","1"
"1","10254","4","17","14","1"
"1","10255","4","19","30","1"
"1","10256","4","20","31","1"
"1","10257","5","13","31","1"
"1","10258","5","14","88","1"
"1","10259","6","16","80","1"
"1","10260","6","19","80","1"
"1","10261","1","18","80","1"
"1","10262","1","20","90","1"
"1","10263","2","11","4","1"
"1","10264","4","22","4","1"
"1","10265","4","5","30","1"
"1","10266","3","14","4","1"
"1","10267","2","15","31","1"
"1","10268","4","9","2","1"
"1","10269","5","18","4","1"
"1","10270","6","20","4","1"
"1","10271","6","22","31","1"
"1","10272","1","18","14","1"
"1","10273","7","17","14","1"
"1","10274","1","19","15","1"
"1","10275","1","14","15","1"
"1","10276","1","19","4","1"
"1","10277","4","17","4","1"
"1","10278","5","3","4","1"
"1","10279","5","13","1","1"
"1","10280","2","21","31","1"
"1","10281","3","9","31","1"
"1","10282","3","20","80","1"
"1","10283","7","5","4","1"
"1","10284","5","12","4","1"
"1","10285","5","15","66","1"
"1","10286","7","14","4","1"
"1","10287","2","7","31","1"
"1","10288","7","19","4","1"
"1","10289","3","21","4","1"
"1","10291","4","23","99","1"
"1","10292","6","3","66","1"
"1","10293","7","19","80","1"
"1","10294","2","0","31","1"
"1","10295","2","5","6","1"
"1","10296","3","19","30","1"
"1","10298","5","15","14","1"
"1","10299","6","18","14","1"
"1","10300","1","2","4","1"
"1","10301","6","1","31","1"
"1","10302","3","2","4","1"
"1","10303","1","2","4","1"
"1","10304","7","20","4","1"
"1","10305","6","16","66","1"
"1","10306","1","15","4","1"
"1","10307","2","12","4","1"
"1","10309","6","5","4","1"
"1","10310","7","8","63","1"
"1","10311","1","2","4","1"
"1","10312","7","2","30","1"
"1","10313","3","14","30","1"
"1","10314","1","17","4","1"
"1","10315","2","18","4","1"
"1","10317","4","14","4","1"
"1","10318","4","2","4","1"
"1","10319","3","20","14","1"
"1","10320","4","10","31","1"
"1","10321","4","17","4","1"
"1","10322","7","12","2","1"
"1","10323","1","3","31","1"
"1","10324","1","18","80","1"
"1","10325","3","12","31","1"
"1","10326","5","7","30","1"
"1","10327","5","20","14","1"
"1","10328","6","1","31","1"
"1","10329","6","5","4","1"
"1","10330","6","9","80","1"
"1","10331","6","21","31","1"
"1","10332","5","6","14","1"
"1","10333","7","17","4","1"
"1","10334","7","13","4","1"
"1","10335","1","6","31","1"
"1","10336","1","18","30","1"
"1","10337","4","15","20","1"
"1","10338","5","7","4","1"
"1","10339","5","10","80","1"
"1","10340","5","11","4","1"
"1","10341","7","0","49","1"
"1","10342","6","18","4","1"
"1","10343","5","13","66","1"
