ST_CASE,DAY_WEEK,HOUR,BODY_TYP,FATAL_COUNT
10363,3,23,80,1
10364,4,5,4,1
10365,4,21,14,1
10366,2,11,14,1
10367,5,13,31,1
10368,7,0,80,1
10369,1,2,99,1
10370,3,9,15,1
10371,3,10,4,1
10372,3,20,90,1
10373,1,8,31,1
10374,6,17,4,1
10375,3,18,30,1
10376,4,7,4,1
10377,6,6,31,1
10378,6,7,14,1
10379,5,15,4,1
10380,4,0,4,1
10381,6,22,66,1
10382,1,15,30,1
10383,3,17,80,1
10384,3,17,4,1
10385,4,10,4,1
10386,5,17,4,1
10387,5,19,2,1
10388,6,17,3,1
10389,1,1,4,1
10390,7,22,2,1
10391,7,12,4,1
10392,3,19,80,1
10393,6,10,14,1
10394,7,2,31,1
10395,7,12,31,1
10396,7,17,31,1
10397,1,5,5,1
10398,1,14,31,1
10399,1,19,6,1
10400,2,15,4,1
10401,4,23,30,1
10402,7,6,4,1
10403,3,16,31,1
10404,6,22,30,1
10405,2,20,80,1
10406,7,17,90,1
10407,1,21,4,1
10408,7,23,31,1
10409,5,19,1,1
10410,7,12,4,1
10411,1,9,4,1
10412,1,2,83,1
10413,1,2,99,1
10414,3,5,6,1
10415,3,19,31,1
10416,6,17,4,1
10417,6,17,20,1
10418,6,22,4,1
10420,1,4,4,1
10421,7,21,31,1
10422,5,20,2,1
10424,6,14,14,1
10425,3,14,4,1
10426,3,14,63,1
10427,4,18,31,1
10428,4,19,4,1
10429,4,5,31,1
10430,5,15,14,1
10431,1,1,15,1
10432,4,17,31,1
10433,5,1,80,1
10434,5,16,14,1
10435,6,15,15,1
10436,2,12,31,1
10437,1,16,4,1
10438,5,15,66,1
10439,1,1,15,1
10440,4,12,31,1
10441,3,7,40,1
10442,6,6,30,1
10443,6,9,31,1
10444,6,23,4,1
10445,7,4,6,1
10446,1,11,4,1
10447,7,0,31,1
10448,4,17,31,1
10449,6,22,31,1
10450,7,13,4,1
10451,7,20,30,1
10452,1,4,4,1
10453,6,7,2,1
10454,3,12,4,1
10456,7,9,31,1
10457,2,13,15,1
10458,1,14,15,1
10459,7,2,3,1
10460,3,10,4,1
10461,4,23,15,1
10462,5,19,80,1
10463,5,9,3,1
10464,4,14,31,1
10465,1,20,14,1
10466,2,12,66,1
10467,7,12,6,1
10468,4,13,66,1
10469,1,15,4,1
10470,6,13,66,1
10471,2,3,4,1
10472,3,7,4,1
10474,2,8,21,1
10475,6,22,14,1
10476,7,8,30,1
10477,2,10,14,1
10478,5,12,31,1
10479,6,4,30,1
10480,7,19,4,1
10481,1,15,15,1
10482,1,11,4,1
10483,7,15,4,1
10484,6,16,40,1
10485,7,21,4,1
10486,3,18,31,1
10487,3,22,4,1
10488,3,19,16,1
10489,6,21,20,1
10491,7,3,14,1
10492,2,17,5,1
10493,2,18,4,1
10494,2,15,80,1
10495,1,21,4,1
10496,4,22,31,1
10497,3,5,66,1
10498,6,22,31,1
10499,7,18,31,1
10500,5,20,4,1
10501,7,1,31,1
10502,1,20,6,1
10503,4,21,66,1
10504,4,22,4,1
10505,5,9,5,1
10506,5,17,4,1
10507,1,23,4,1
10508,1,4,31,1
10509,1,3,80,1
10510,1,11,31,1
10511,2,0,14,1
10512,2,9,66,1
10513,2,17,4,1
10514,2,1,31,1
10515,4,19,4,1
10516,5,11,20,1
10517,7,0,14,1
10518,3,23,14,1
10520,6,22,20,1
10521,3,14,30,1
10522,2,12,15,1
10524,3,8,31,1
10525,5,11,4,1
10526,7,21,15,1
10527,7,22,31,1
10528,1,0,14,1
10529,5,5,2,1
10530,6,1,80,1
10531,1,22,4,1
10532,2,5,30,1
10533,2,21,31,1
10534,4,5,14,1
10535,5,9,4,1
10536,6,4,6,1
10537,5,14,14,1
10538,1,1,15,1
10539,5,4,4,1
10540,6,23,31,1
10542,5,16,4,1
10543,7,21,4,1
10544,2,18,14,1
10545,2,13,4,1
10546,4,7,4,1
10547,4,19,4,1
10548,5,11,20,1
10549,5,11,31,1
10550,7,4,21,1
10551,7,19,3,1
10552,7,20,30,1
10553,1,4,4,1
10554,4,15,80,1
10555,4,19,80,1
10556,5,13,5,1
10557,5,22,4,1
10558,6,8,4,1
10559,6,22,99,1
10560,7,9,4,1
10561,1,13,3,1
10562,1,14,80,1
10563,4,15,31,1
10564,5,19,4,1
10565,6,22,66,1
10566,6,11,14,1
10567,6,17,31,1
10568,7,3,4,1
10569,7,3,99,1
10570,1,0,4,1
10571,2,13,31,1
10572,2,2,14,1
10573,6,0,15,1
10574,6,18,30,1
10575,7,5,31,1
10576,4,4,4,1
10577,1,16,80,1
10578,6,20,4,1
10579,3,9,6,1
10580,3,8,66,1
10581,3,14,4,1
10582,5,2,4,1
10583,4,7,4,1
10584,1,20,4,1
10585,2,5,14,1
10586,5,18,4,1
10587,2,6,6,1
10588,3,21,15,1
10589,5,7,14,1
10590,6,23,99,1
10591,2,19,15,1
10592,7,2,31,1
10594,2,11,14,1
10595,4,11,30,1
10596,5,12,14,1
10597,2,18,30,1
10598,2,9,63,1
10599,2,17,14,1
10600,3,15,4,1
10601,5,5,3,1
10602,4,7,14,1
10603,6,0,4,1
10604,5,17,4,1
10605,5,6,30,1
10606,1,22,4,1
10607,3,19,30,1
10608,2,10,66,1
10609,5,19,14,1
10610,5,8,15,1
10612,1,15,80,1
10613,6,2,31,1
10614,7,5,4,1
10615,7,23,14,1
10616,1,1,30,1
10617,1,2,4,1
10618,2,16,31,1
10619,7,14,4,1
10620,1,0,30,1
10621,1,2,31,1
10622,2,6,50,1
10623,4,8,20,1
10624,1,17,6,1
10625,1,2,2,1
10626,4,20,5,1
10627,6,13,63,1
10628,6,14,4,1
10629,7,17,99,1
10630,1,2,4,1
10631,5,14,4,1
10632,5,16,2,1
10633,6,21,6,1
10634,7,18,4,1
10635,7,20,4,1
10636,1,10,4,1
10637,1,1,2,1
10638,7,18,4,1
10639,4,18,14,1
10640,5,9,31,1
10641,6,21,4,1
10642,6,0,4,1
10643,6,0,31,1
10645,2,7,62,1
10646,6,7,66,1
10647,6,17,4,1
10648,7,6,4,1
10649,6,12,6,1
10650,7,1,14,1
10651,5,20,4,1
10652,1,19,31,1
10653,5,99,4,1
10654,3,6,31,1
10655,4,15,4,1
10657,1,10,80,1
10658,3,19,5,1
10659,5,1,31,1
10660,6,5,31,1
10661,6,17,4,1
10662,7,18,4,1
10663,7,23,90,1
10664,7,17,4,1
10665,1,2,5,1
10666,2,5,4,1
10667,2,18,4,1
10668,3,7,4,1
10669,4,6,30,1
10670,5,22,2,1
10671,7,15,4,1
10672,1,6,4,1
10673,4,0,14,1
10674,7,23,6,1
10675,4,17,66,1
10676,1,10,30,1
10677,3,14,4,1
10679,5,10,4,1
10680,4,13,4,1
10681,6,21,1,1
10682,7,21,4,1
10683,1,16,80,1
10684,4,17,80,1
10685,7,7,31,1
10686,7,10,31,1
10687,5,21,4,1
10688,5,5,31,1
10689,6,9,31,1
10690,4,17,92,1
10691,1,14,80,1
10692,1,1,31,1
10693,1,1,14,1
10694,2,16,15,1
10695,3,17,4,1
10696,4,3,4,1
10697,4,10,4,1
10698,6,18,1,1
10699,3,4,4,1
10700,7,6,4,1
10702,5,21,66,1
10703,7,11,30,1
10705,1,12,14,1
10706,2,2,2,1
10707,3,7,4,1
10708,4,18,99,1
10709,3,7,3,1
10711,4,18,31,1
10712,6,14,2,1
10713,4,10,4,1
10714,7,19,5,1
10715,2,22,15,1
10716,4,21,31,1
10717,5,6,21,1
10718,4,7,31,1
10719,7,3,14,1
10721,4,18,66,1
10722,7,15,4,1
10723,7,18,4,1
10724,2,13,31,1
10725,5,0,30,1
10726,5,16,5,1
10727,6,12,15,1
10728,7,1,4,1
10729,7,6,4,1
10730,7,22,31,1
10731,1,3,31,1
10732,1,4,4,1
10733,1,15,4,1
10734,1,20,4,1
10735,2,1,99,1
10736,5,6,14,1
10737,1,16,20,1
10738,4,18,14,1
10739,5,13,90,1
10740,5,17,80,1
10741,6,15,80,1
10742,6,18,80,1
10743,6,11,4,1
10744,1,18,4,1
10745,7,12,80,1
10746,5,17,4,1
10747,7,7,4,1
10748,2,20,31,1
10749,4,0,66,1
10750,4,16,4,1
10752,6,6,2,1
10753,4,18,31,1
10754,3,11,20,1
10756,5,17,4,1
10757,2,20,15,1
10758,1,19,20,1
10759,1,18,4,1
10761,3,7,4,1
10763,5,18,80,1
10764,4,4,31,1
10765,4,4,3,1
10766,6,20,4,1
10767,3,15,31,1
10768,7,21,4,1
10769,1,20,15,1
10770,3,12,66,1
10771,4,8,14,1
10772,1,9,30,1
10773,2,5,31,1
10774,6,1,4,1
10775,1,9,31,1
10776,2,16,30,1
10778,4,10,31,1
10779,6,15,4,1
10780,6,23,14,1
10781,7,2,2,1
10782,7,7,4,1
10783,7,18,4,1
20001,5,0,31,1
20002,6,20,14,1
20003,4,2,14,1
20004,7,0,31,1
20005,4,13,15,1
20006,5,18,30,1
20007,1,21,15,1
20008,6,10,14,1
20010,7,99,21,1
20011,2,6,4,1
20012,1,17,30,1
20013,1,4,14,1
20014,1,14,31,1
20015,7,18,6,1
20016,7,14,31,1
20017,1,14,31,1
20018,7,14,90,1
20019,4,20,4,1
20020,1,21,90,1
20021,6,14,80,1
20022,7,8,80,1
20023,5,1,31,1
20024,7,23,90,1
20025,6,23,80,1
20026,4,16,31,1
20027,6,19,80,1
20028,6,1,80,1
20029,2,17,80,1
20030,7,5,30,1
20032,7,4,20,1
20033,6,1,99,1
20034,7,21,31,1
20035,6,12,51,1
20037,4,2,20,1
20038,5,14,16,1
20039,3,21,90,1
20040,7,15,15,1
20041,1,0,2,1
20042,2,21,6,1
20043,6,23,99,1
20044,3,14,14,1
20045,1,18,31,1
20046,4,0,80,1
20047,4,5,20,1
20048,7,99,2,1
20049,1,0,80,1
20050,4,14,14,1
20051,3,9,20,1
20052,5,9,31,1
20053,4,18,31,1
20054,7,9,31,1
20056,7,99,91,1
20057,3,17,14,1
20058,5,17,31,1
20059,7,18,14,1
20060,3,21,16,1
40001,5,5,99,1
40002,5,9,4,1
40003,7,14,4,1
40004,1,21,14,1
40005,2,6,4,1
40006,3,10,31,1
40007,6,8,4,1
40008,6,19,1,1
40009,7,5,5,1
40011,1,7,31,1
40012,3,19,2,1
40014,4,14,21,1
40015,4,15,31,1
40016,4,19,14,1
40017,6,13,4,1
40018,6,16,31,1
40019,7,15,30,1
40022,7,4,31,1
40023,7,11,4,1
40024,1,1,80,1
40025,2,0,4,1
40026,3,1,15,1
40027,3,15,31,1
40028,4,14,80,1
40032,7,18,31,1
40033,6,19,4,1
40034,1,17,16,1
40036,5,15,4,1
40037,6,0,4,1
40038,6,7,14,1
40039,6,23,80,1
40040,1,2,6,1
40041,2,8,20,1
40042,4,22,80,1
40043,5,9,14,1
40044,7,3,66,1
40045,7,19,15,1
40046,7,17,31,1
40047,7,18,4,1
40048,7,22,90,1
40049,5,17,4,1
40050,1,20,31,1
40051,6,23,80,1
40052,7,21,1,1
40053,2,16,4,1
40054,7,17,4,1
40055,5,20,31,1
40056,6,18,1,1
40057,7,13,4,1
40058,1,0,4,1
40059,4,21,4,1
40060,7,2,80,1
40061,2,18,31,1
40062,5,19,20,1
40063,6,5,63,1
40064,3,10,4,1
40065,3,18,30,1
40066,4,15,16,1
40067,5,9,4,1
40068,5,16,80,1
40070,6,7,2,1
40071,7,9,80,1
40072,7,20,90,1
40073,2,11,15,1
40074,4,20,4,1
40075,5,18,66,1
40076,6,4,66,1
40077,6,16,4,1
40078,1,5,31,1
40079,1,20,4,1
40080,1,21,4,1
40081,2,12,80,1
40082,2,23,31,1
40083,3,6,4,1
40084,4,11,14,1
40085,4,15,4,1
40086,5,19,4,1
40087,6,9,31,1
40089,6,16,6,1
40090,6,18,14,1
40091,1,17,2,1
40092,3,7,30,1
40093,4,9,66,1
40094,5,5,63,1
40095,6,16,31,1
40096,6,7,31,1
40097,2,20,4,1
40098,5,8,4,1
40099,3,10,4,1
40100,5,20,99,1
40102,3,99,99,1
40103,4,17,31,1
40104,4,16,14,1
40106,6,20,31,1
40108,7,18,30,1
40109,7,23,4,1
40110,1,2,4,1
40111,1,12,6,1
40112,1,22,14,1
40113,5,13,4,1
40114,5,8,80,1
40115,6,99,99,1
40116,7,99,99,1
40117,1,1,4,1
40118,1,20,15,1
40119,2,16,14,1
40120,6,1,4,1
40121,6,99,99,1
40122,6,7,14,1
40123,7,19,99,1
40124,2,9,20,1
40125,2,10,30,1
40126,3,1,4,1
40127,6,7,66,1
40128,7,1,2,1
40129,7,18,31,1
40130,1,12,80,1
40131,2,17,31,1
40132,3,11,31,1
40133,3,16,20,1
40134,4,8,14,1
40135,4,23,30,1
40136,5,5,31,1
40137,5,6,31,1
40139,5,21,4,1
40140,6,1,31,1
40142,2,18,6,1
40143,2,20,14,1
40144,4,0,4,1
40145,4,7,14,1
40146,4,16,4,1
40147,5,5,2,1
40148,5,5,63,1
40149,5,20,4,1
40150,6,20,31,1
40151,7,2,80,1
40152,1,10,14,1
40153,1,17,90,1
40154,1,19,14,1
40155,2,6,4,1
40156,2,17,14,1
40157,2,22,4,1
40158,2,23,14,1
40159,3,1,30,1
40160,3,15,31,1
40161,3,19,31,1
40163,4,17,4,1
40164,6,21,4,1
40165,1,11,31,1
40166,1,15,31,1
40167,1,20,31,1
40168,2,17,31,1
40169,3,6,2,1
40170,5,21,20,1
40171,5,23,4,1
40173,1,2,4,1
40174,1,6,4,1
40175,1,6,15,1
40176,1,18,80,1
40177,2,11,80,1
40178,2,16,31,1
40179,3,14,4,1
40180,1,18,14,1
40181,3,12,14,1
40182,7,11,80,1
40183,6,1,80,1
40184,3,16,80,1
40185,1,23,1,1
40186,4,14,30,1
40187,2,8,2,1
40188,3,4,4,1
40189,5,22,1,1
40190,7,20,31,1
40191,7,4,15,1
40192,6,19,31,1
40193,7,17,4,1
40194,6,17,81,1
40195,4,18,31,1
40196,6,13,2,1
40197,6,22,5,1
40198,4,99,99,1
40199,4,12,80,1
40200,7,5,4,1
40203,1,23,2,1
40204,2,13,4,1
40205,5,1,14,1
40206,5,11,15,1
40207,1,20,4,1
40208,3,13,62,1
40209,7,17,80,1
40210,4,8,97,1
40211,4,14,2,1
40212,4,19,4,1
40213,5,10,14,1
40214,6,5,30,1
40216,6,18,31,1
40217,7,1,30,1
40218,1,12,31,1
40219,1,14,4,1
40220,1,18,80,1
40221,3,7,4,1
40222,3,12,4,1
40223,3,19,6,1
40224,5,16,2,1
40225,6,13,4,1
40226,6,13,14,1
40227,7,9,4,1
40228,7,12,80,1
40229,7,19,14,1
40231,1,19,66,1
40233,5,17,14,1
40234,7,6,4,1
40235,7,22,67,1
40236,2,1,31,1
40237,2,8,4,1
40238,3,11,4,1
40241,4,8,4,1
40242,5,13,80,1
40243,7,3,99,1
40244,1,10,80,1
40245,3,23,15,1
40246,5,22,65,1
40247,5,15,80,1
40248,1,17,31,1
40249,5,14,4,1
40250,5,11,20,1
40251,6,3,4,1
40252,4,20,20,1
40253,3,99,80,1
40254,3,18,99,1
40257,7,23,99,1
40258,1,23,99,1
40259,4,99,99,1
40261,4,20,4,1
40262,5,19,31,1
40263,7,19,31,1
40264,1,17,80,1
40265,1,6,4,1
40266,1,23,4,1
40268,5,99,99,1
40269,6,15,31,1
40270,6,16,4,1
40271,7,1,4,1
40272,7,7,80,1
40273,7,15,66,1
40274,5,18,15,1
40275,7,10,80,1
40276,6,7,2,1
40277,6,20,4,1
40278,7,8,88,1
40279,1,19,16,1
40280,4,22,80,1
40281,6,11,80,1
40282,6,12,80,1
40283,7,23,80,1
40284,2,2,14,1
40285,3,13,31,1
40286,3,14,4,1
40287,4,1,2,1
40288,4,22,80,1
40289,6,3,66,1
40290,6,18,2,1
40291,7,9,31,1
40293,1,5,4,1
40294,2,11,4,1
40296,2,21,31,1
40297,3,20,31,1
40298,5,17,64,1
40299,6,13,80,1
40300,6,20,15,1
40301,7,5,97,1
40302,7,6,80,1
40303,2,17,4,1
40304,3,0,31,1
40305,3,13,14,1
40306,5,5,14,1
40307,6,21,99,1
40308,7,1,80,1
40309,7,22,97,1
40312,5,21,14,1
40313,5,23,14,1
40314,6,0,4,1
40315,1,0,99,1
40317,3,9,4,1
40318,6,15,15,1
40319,6,13,20,1
40320,5,18,31,1
40321,3,3,14,1
40322,3,2,99,1
40323,6,14,31,1
40324,6,20,4,1
40325,7,19,15,1
40326,4,3,31,1
40327,5,22,31,1
40328,6,9,30,1
40329,7,15,90,1
40330,7,11,15,1
40331,4,8,14,1
40332,4,16,80,1
40333,4,4,99,1
40334,4,7,31,1
40335,4,13,4,1
40336,5,4,99,1
40337,5,8,80,1
40338,5,11,99,1
40340,6,22,4,1
40341,6,8,15,1
40342,6,22,99,1
40343,7,4,2,1
40345,1,20,30,1
40346,7,2,3,1
40348,7,14,9,1
40349,1,0,14,1
40350,1,22,31,1
40351,6,16,4,1
40352,6,21,80,1
40353,1,3,99,1
40354,2,15,4,1
40355,3,11,4,1
40356,3,21,14,1
40357,5,0,40,1
40358,5,1,4,1
40359,5,10,80,1
40360,7,4,4,1
40361,7,16,4,1
40362,7,20,4,1
40363,7,20,31,1
40365,1,16,2,1
40366,1,17,4,1
40367,1,17,4,1
40368,2,1,20,1
40369,2,5,67,1
40370,2,7,31,1
40371,2,21,80,1
40372,3,18,15,1
40373,5,10,65,1
40374,6,0,66,1
40375,6,4,66,1
40377,7,9,4,1
40378,1,21,31,1
40379,5,11,15,1
40380,5,14,30,1
40381,6,13,3,1
40382,6,16,14,1
40383,1,1,4,1
40384,2,7,80,1
40385,2,15,6,1
40386,2,22,14,1
40387,4,6,4,1
40388,4,19,66,1
40389,5,14,14,1
40390,7,6,80,1
40391,7,12,90,1
40393,1,18,14,1
40394,2,10,62,1
40395,2,18,4,1
40396,3,11,20,1
40397,3,20,4,1
40398,2,16,14,1
40399,3,3,99,1
40400,5,0,2,1
40401,5,1,4,1
40402,5,19,4,1
40403,5,22,4,1
40404,1,20,3,1
40405,2,14,66,1
40406,3,13,99,1
40407,3,15,31,1
40409,6,21,14,1
40410,6,22,14,1
40411,3,20,40,1
40412,5,20,99,1
40413,6,15,1,1
40414,6,22,80,1
40415,7,20,4,1
40416,4,5,99,1
40417,5,22,4,1
40418,6,21,30,1
40419,6,20,5,1
40420,7,20,4,1
40421,7,22,14,1
40423,3,5,31,1
40426,4,21,99,1
40427,6,9,4,1
40428,1,5,14,1
40429,1,7,4,1
40430,3,3,2,1
40431,3,6,14,1
40432,4,10,80,1
40433,5,16,4,1
40434,6,13,16,1
40435,7,5,66,1
40436,7,9,31,1
40437,7,11,31,1
40438,1,20,14,1
40439,4,1,4,1
40440,6,7,31,1
40441,2,13,15,1
40442,4,20,4,1
40443,6,23,2,1
40444,7,5,1,1
40446,1,15,14,1
40449,3,15,31,1
40450,3,21,31,1
40451,3,23,4,1
40452,4,17,5,1
40454,6,2,2,1
40455,4,14,66,1
40456,6,23,31,1
40457,6,13,14,1
40458,6,10,30,1
40459,6,12,31,1
40460,7,2,20,1
40461,1,4,30,1
40462,4,18,4,1
40463,6,19,1,1
40464,7,9,80,1
40465,4,19,80,1
40466,5,4,2,1
40468,5,22,15,1
40469,5,0,99,1
40470,5,17,97,1
40471,7,22,99,1
40472,7,6,14,1
40473,1,3,4,1
40474,3,7,15,1
40476,7,99,99,1
40477,6,19,99,1
40478,5,5,99,1
40479,2,23,49,1
40480,4,7,99,1
40481,5,21,31,1
40482,6,6,31,1
40483,7,11,20,1
40484,7,21,4,1
40485,1,5,31,1
40486,1,20,31,1
40487,1,22,99,1
40488,4,12,80,1
40489,5,18,31,1
40490,5,23,4,1
40491,2,18,4,1
40492,5,20,99,1
40493,5,12,4,1
40494,4,5,4,1
40496,2,7,4,1
40497,7,2,14,1
40498,7,9,80,1
40500,2,21,5,1
40501,2,22,4,1
40502,2,22,4,1
40503,3,20,31,1
40504,4,15,14,1
40505,5,5,80,1
40506,5,11,4,1
40507,6,20,15,1
40508,7,14,66,1
40509,2,11,66,1
40510,3,10,5,1
40511,3,12,4,1
40512,3,19,20,1
40513,4,1,20,1
40515,5,12,5,1
40516,7,3,31,1
40517,7,4,14,1
40518,1,3,2,1
40520,2,7,4,1
40521,2,9,20,1
40522,5,5,4,1
40523,5,20,66,1
40524,5,21,31,1
40525,6,6,30,1
40526,6,7,31,1
40527,6,17,31,1
40528,6,18,14,1
40529,7,15,31,1
40530,7,20,31,1
