ST_CASE,SUMSPEEDREL,STATE,FATAL_COUNT_x,SUMMDRDSTRD,DAY_WEEK,HOUR,BODY_TYP
10186,3,1,1,0,6,13,30
10187,3,1,1,99,6,20,14
10188,0,1,1,99,7,12,15
10189,0,1,1,0,1,10,31
10190,3,1,1,0,4,13,14
10191,0,1,1,0,7,4,31
10192,9,1,1,99,3,8,4
10193,0,1,1,0,6,11,15
10194,0,1,1,0,6,18,31
10195,3,1,2,0,4,9,31
10196,0,1,1,99,6,20,31
10197,9,1,1,198,7,20,66
10198,0,1,1,0,2,9,4
10199,0,1,2,0,2,10,14
10200,0,1,1,0,4,11,14
10201,3,1,1,99,5,23,14
10202,0,1,1,99,5,20,30
10203,3,1,1,0,7,0,4
10204,3,1,1,99,6,18,16
10205,0,1,1,0,3,0,5
10206,0,1,1,0,5,19,31
10207,4,1,1,99,5,20,4
10208,0,1,1,99,2,23,4
10209,0,1,1,92,5,13,31
10210,4,1,1,99,7,19,14
10211,0,1,1,0,5,9,14
10212,0,1,1,99,5,17,66
10213,3,1,2,0,5,21,14
10214,0,1,1,0,5,20,30
10215,9,1,1,0,7,22,80
10216,0,1,1,0,1,17,14
10217,3,1,1,0,2,0,4
10218,0,1,1,0,2,11,20
10219,0,1,2,99,2,15,6
10220,0,1,1,98,2,19,2
10221,3,1,1,0,3,14,30
10222,0,1,2,0,4,7,2
10223,0,1,1,99,6,21,15
10224,0,1,1,0,2,21,15
10225,0,1,1,99,5,22,6
10226,0,1,1,99,6,9,30
10227,0,1,1,99,6,11,30
10228,0,1,1,0,1,16,30
10229,0,1,1,99,2,6,4
10230,9,1,1,0,1,9,4
10231,0,1,1,0,7,20,14
10232,0,1,1,99,2,20,4
10233,0,1,1,0,5,17,31
10234,0,1,1,0,2,16,30
10235,9,1,1,99,6,19,66
10236,3,1,1,99,7,13,14
10237,3,1,1,99,1,2,4
10238,3,1,1,99,1,16,15
10239,0,1,1,3,7,18,31
10240,0,1,1,99,2,8,30
10241,0,1,1,0,2,12,4
10242,3,1,1,99,1,0,4
10243,0,1,1,0,7,15,80
10244,0,1,1,99,5,6,31
10245,0,1,1,99,5,14,30
10246,0,1,1,99,5,21,31
10247,9,1,1,99,6,21,99
10248,0,1,1,99,6,9,6
10249,3,1,1,0,2,1,14
10250,0,1,1,15,2,6,30
10251,3,1,1,0,2,15,15
10252,0,1,1,0,4,5,80
10253,9,1,1,99,4,6,3
10254,0,1,1,0,4,17,14
10255,3,1,1,99,4,19,30
10256,9,1,1,99,4,20,31
10257,3,1,1,99,5,13,31
10258,0,1,1,99,5,14,88
10259,3,1,1,99,6,16,80
10260,3,1,1,0,6,19,80
10261,3,1,1,99,1,18,80
10262,9,1,1,99,1,20,90
10263,4,1,1,0,2,11,4
10264,0,1,1,0,4,22,4
10265,0,1,1,99,4,5,30
10266,0,1,1,6,3,14,4
10267,0,1,1,0,2,15,31
10268,0,1,1,0,4,9,2
10269,0,1,1,92,5,18,4
10270,0,1,1,99,6,20,4
10271,0,1,1,0,6,22,31
10272,0,1,1,0,1,18,14
10273,0,1,1,99,7,17,14
10274,0,1,1,0,1,19,15
10275,0,1,1,0,1,14,15
10276,3,1,1,0,1,19,4
10277,0,1,1,99,4,17,4
10278,9,1,1,99,5,3,4
10279,4,1,1,0,5,13,1
10280,3,1,1,99,2,21,31
10281,3,1,1,99,3,9,31
10282,0,1,1,99,3,20,80
10283,9,1,1,0,7,5,4
10284,0,1,1,99,5,12,4
10285,0,1,1,12,5,15,66
10286,3,1,1,99,7,14,4
10287,0,1,1,99,2,7,31
10288,3,1,1,99,7,19,4
10289,3,1,1,0,3,21,4
10290,0,1,2,12,4,16,14
10291,9,1,1,99,4,23,99
10292,0,1,1,0,6,3,66
10293,0,1,1,0,7,19,80
10294,3,1,1,0,2,0,31
10295,0,1,1,99,2,5,6
10296,9,1,1,99,3,19,30
10297,0,1,2,99,4,12,4
10298,0,1,1,0,5,15,14
10299,0,1,1,0,6,18,14
10300,9,1,1,99,1,2,4
10301,0,1,1,99,6,1,31
10302,0,1,1,0,3,2,4
10303,3,1,1,198,1,2,4
10304,3,1,1,0,7,20,4
10305,0,1,1,0,6,16,66
10306,0,1,1,0,1,15,4
10307,3,1,1,99,2,12,4
10308,9,1,2,99,1,4,14
10309,0,1,1,99,6,5,4
10310,9,1,1,99,7,8,63
10311,3,1,1,99,1,2,4
10312,0,1,1,99,7,2,30
10313,9,1,1,99,3,14,30
10314,0,1,1,99,1,17,4
10315,0,1,1,0,2,18,4
10316,3,1,2,0,5,18,4
10317,4,1,1,0,4,14,4
10318,0,1,1,0,4,2,4
10319,0,1,1,0,3,20,14
10320,0,1,1,1,4,10,31
10321,0,1,1,0,4,17,4
10322,0,1,1,0,7,12,2
10323,3,1,1,98,1,3,31
10324,9,1,1,0,1,18,80
10325,0,1,1,92,3,12,31
10326,3,1,1,0,5,7,30
10327,0,1,1,0,5,20,14
10328,3,1,1,99,6,1,31
10329,9,1,1,99,6,5,4
10330,0,1,1,0,6,9,80
10331,0,1,1,0,6,21,31
10332,9,1,1,99,5,6,14
10333,4,1,1,0,7,17,4
10334,4,1,1,99,7,13,4
10335,3,1,1,0,1,6,31
10336,3,1,1,0,1,18,30
10337,0,1,1,0,4,15,20
10338,9,1,1,0,5,7,4
10339,0,1,1,0,5,10,80
10340,3,1,1,0,5,11,4
10341,3,1,1,99,7,0,49
10342,0,1,1,99,6,18,4
10343,0,1,1,92,5,13,66
10344,9,1,1,0,4,17,80
10345,4,1,1,0,3,6,15
10346,0,1,1,99,7,0,82
10347,0,1,1,99,5,10,4
10348,3,1,>2,92,1,15,4
10349,0,1,1,1,4,14,21
10350,9,1,1,0,2,22,4
10351,3,1,1,99,4,19,14
10352,0,1,1,0,5,18,4
10353,3,1,1,99,5,19,31
10354,4,1,1,99,7,17,14
10355,3,1,1,0,7,19,5
10356,0,1,1,99,1,2,4
10357,0,1,1,0,3,22,4
10358,3,1,2,99,5,21,4
10359,0,1,1,0,3,14,15
10360,0,1,2,99,4,6,2
10361,3,1,1,99,5,23,4
10362,9,1,1,99,3,3,4
10363,0,1,1,0,3,23,80
10364,0,1,1,0,4,5,4
10365,0,1,1,0,4,21,14
10366,3,1,1,99,2,11,14
10367,3,1,1,99,5,13,31
10368,0,1,1,0,7,0,80
10369,9,1,1,99,1,2,99
10370,9,1,1,99,3,9,15
10371,0,1,1,99,3,10,4
10372,0,1,1,0,3,20,90
10373,0,1,1,0,1,8,31
10374,0,1,1,6,6,17,4
10375,0,1,1,0,3,18,30
10376,0,1,1,0,4,7,4
10377,0,1,1,99,6,6,31
10378,4,1,1,0,6,7,14
10379,3,1,1,0,5,15,4
10380,9,1,1,12,4,0,4
10381,0,1,1,0,6,22,66
10382,0,1,1,0,1,15,30
10383,3,1,1,0,3,17,80
10384,0,1,1,99,3,17,4
10385,0,1,1,0,4,10,4
10386,4,1,1,0,5,17,4
10387,4,1,1,99,5,19,2
10388,4,1,1,0,6,17,3
10389,0,1,1,99,1,1,4
10390,3,1,1,0,7,22,2
10391,0,1,1,99,7,12,4
10392,2,1,1,0,3,19,80
10393,0,1,1,0,6,10,14
10394,0,1,1,99,7,2,31
10395,0,1,1,0,7,12,31
10396,0,1,1,0,7,17,31
10397,0,1,1,99,1,5,5
10398,0,1,1,0,1,14,31
10399,0,1,1,12,1,19,6
10400,0,1,1,0,2,15,4
10401,0,1,1,0,4,23,30
10402,0,1,1,99,7,6,4
10403,0,1,1,92,3,16,31
10404,3,1,1,99,6,22,30
10405,6,1,1,100,2,20,80
10406,3,1,1,99,7,17,90
10407,4,1,1,3,1,21,4
10408,3,1,1,99,7,23,31
10409,4,1,1,99,5,19,1
10410,0,1,1,0,7,12,4
10411,0,1,1,99,1,9,4
10412,3,1,1,99,1,2,83
10413,9,1,1,99,1,2,99
10414,0,1,1,0,3,5,6
10415,0,1,1,0,3,19,31
10416,0,1,1,0,6,17,4
10417,0,1,1,99,6,17,20
10418,0,1,1,6,6,22,4
10419,0,1,2,99,6,10,4
10420,0,1,1,99,1,4,4
10421,0,1,1,99,7,21,31
10422,0,1,1,0,5,20,2
10423,3,1,2,99,4,20,31
10424,0,1,1,3,6,14,14
10425,0,1,1,99,3,14,4
10426,0,1,1,0,3,14,63
10427,3,1,1,0,4,18,31
10428,4,1,1,0,4,19,4
10429,9,1,1,99,4,5,31
10430,4,1,1,99,5,15,14
10431,3,1,1,99,1,1,15
10432,9,1,1,99,4,17,31
10433,0,1,1,6,5,1,80
10434,3,1,1,99,5,16,14
10435,4,1,1,99,6,15,15
10436,0,1,1,0,2,12,31
10437,0,1,1,0,1,16,4
10438,0,1,1,99,5,15,66
10439,4,1,1,99,1,1,15
10440,0,1,1,0,4,12,31
10441,0,1,1,92,3,7,40
10442,9,1,1,0,6,6,30
10443,0,1,1,0,6,9,31
10444,9,1,1,99,6,23,4
10445,0,1,1,0,7,4,6
10446,0,1,1,15,1,11,4
10447,0,1,1,99,7,0,31
10448,0,1,1,0,4,17,31
10449,0,1,1,0,6,22,31
10450,2,1,1,0,7,13,4
10451,0,1,1,0,7,20,30
10452,3,1,1,99,1,4,4
10453,3,1,1,99,6,7,2
10454,4,1,1,0,3,12,4
