ST_CASE,DAY_WEEK,HOUR,BODY_TYP,FATAL_LEVEL,WEATHER,FATAL_COUNT,BODY_TYP2
10492,2,17,5,1,1,1,1
10493,2,18,4,1,1,1,1
10495,1,21,4,1,10,1,1
10500,5,20,4,1,1,1,1
10502,1,20,6,1,1,1,1
10504,4,22,4,1,1,1,1
10505,5,9,5,1,1,1,1
10506,5,17,4,1,1,1,1
10507,1,23,4,1,1,1,1
10513,2,17,4,1,1,1,1
10515,4,19,4,1,10,1,1
10525,5,11,4,1,10,1,1
10529,5,5,2,1,1,1,1
10531,1,22,4,1,1,1,1
10535,5,9,4,1,1,1,1
10536,6,4,6,1,1,1,1
10539,5,4,4,1,1,1,1
10542,5,16,4,1,10,1,1
10543,7,21,4,1,1,1,1
10545,2,13,4,1,1,1,1
10546,4,7,4,1,1,1,1
10547,4,19,4,1,1,1,1
10551,7,19,3,1,1,1,1
10553,1,4,4,1,10,1,1
10556,5,13,5,1,1,1,1
10557,5,22,4,1,1,1,1
10558,6,8,4,1,2,1,1
10560,7,9,4,1,2,1,1
10561,1,13,3,1,10,1,1
10564,5,19,4,1,10,1,1
10568,7,3,4,1,2,1,1
10570,1,0,4,1,1,1,1
10576,4,4,4,1,1,1,1
10578,6,20,4,1,1,1,1
10579,3,9,6,1,1,1,1
10581,3,14,4,1,1,1,1
10582,5,2,4,1,1,1,1
10583,4,7,4,1,1,1,1
10584,1,20,4,1,1,1,1
10586,5,18,4,1,1,1,1
10587,2,6,6,1,2,1,1
10600,3,15,4,1,1,1,1
10601,5,5,3,1,2,1,1
10603,6,0,4,1,1,1,1
10604,5,17,4,1,1,1,1
10606,1,22,4,1,1,1,1
10614,7,5,4,1,1,1,1
10617,1,2,4,1,1,1,1
10619,7,14,4,1,10,1,1
10624,1,17,6,1,5,1,1
10625,1,2,2,1,2,1,1
10626,4,20,5,1,1,1,1
10628,6,14,4,1,10,1,1
10630,1,2,4,1,2,1,1
10631,5,14,4,1,1,1,1
10632,5,16,2,1,10,1,1
10633,6,21,6,1,1,1,1
10634,7,18,4,1,10,1,1
10635,7,20,4,1,1,1,1
10636,1,10,4,1,1,1,1
10637,1,1,2,1,1,1,1
10638,7,18,4,1,1,1,1
10641,6,21,4,1,1,1,1
10642,6,0,4,1,1,1,1
10647,6,17,4,1,1,1,1
10648,7,6,4,1,1,1,1
10649,6,12,6,1,1,1,1
10651,5,20,4,1,1,1,1
10655,4,15,4,1,2,1,1
10658,3,19,5,1,2,1,1
10661,6,17,4,1,1,1,1
10662,7,18,4,1,1,1,1
10664,7,17,4,1,1,1,1
10665,1,2,5,1,1,1,1
10666,2,5,4,1,1,1,1
10667,2,18,4,1,1,1,1
10668,3,7,4,1,1,1,1
10670,5,22,2,1,1,1,1
10671,7,15,4,1,1,1,1
10672,1,6,4,1,10,1,1
10674,7,23,6,1,1,1,1
10677,3,14,4,1,1,1,1
10679,5,10,4,1,10,1,1
10680,4,13,4,1,2,1,1
10681,6,21,1,1,1,1,1
10682,7,21,4,1,10,1,1
